model,condition,k,n,rate,ci_lo,ci_hi
claude-opus-4.8,Control,0,8,0.0,0.0,0.32440756488388034
claude-opus-4.8,T1,0,8,0.0,0.0,0.32440756488388034
claude-opus-4.8,T2,0,8,0.0,0.0,0.32440756488388034
claude-opus-4.8,T3,0,8,0.0,0.0,0.32440756488388034
gemini-3.5-flash,Control,3,8,0.375,0.13684428582359737,0.6942576053973728
gemini-3.5-flash,T1,4,8,0.5,0.2152160622138775,0.7847839377861225
gemini-3.5-flash,T2,4,8,0.5,0.2152160622138775,0.7847839377861225
gemini-3.5-flash,T3,4,8,0.5,0.2152160622138775,0.7847839377861225
gpt-5.5,Control,0,8,0.0,0.0,0.32440756488388034
gpt-5.5,T1,3,8,0.375,0.13684428582359737,0.6942576053973728
gpt-5.5,T2,3,8,0.375,0.13684428582359737,0.6942576053973728
gpt-5.5,T3,2,8,0.25,0.071479212752109,0.5907245696898311
gpt-oss-120b,Control,0,2,0.0,0.0,0.657619772493347
gpt-oss-120b,T1,0,0,nan,nan,nan
gpt-oss-120b,T2,0,0,nan,nan,nan
gpt-oss-120b,T3,0,0,nan,nan,nan
POOLED,Control,3,26,0.11538461538461539,0.040032446236106134,0.28975903211713644
POOLED,T1,7,24,0.2916666666666667,0.14914648196960875,0.4916769366449665
POOLED,T2,7,24,0.2916666666666667,0.14914648196960875,0.4916769366449665
POOLED,T3,6,24,0.25,0.11999366228595007,0.4489944400515401
